,City,Year,Sport,Discipline,Athlete,Country,Gender,Event,Medal,Location
108,Sarajevo,1984,Skiing,Alpine Skiing,"ARMSTRONG, Debbie",USA,Women,Giant Slalom,Gold,"[43.856259,18.413076]"
109,Sarajevo,1984,Skiing,Alpine Skiing,"MAHRE, Phillip",USA,Men,Slalom,Gold,"[43.856259,18.413076]"
110,Sochi,2014,Skating,Figure skating,"WHITE, Charlie",USA,Men,Ice Dancing,Gold,"[43.602808,39.734154]"
111,Sochi,2014,Skating,Figure skating,"DAVIS, Meryl",USA,Women,Ice Dancing,Gold,"[43.602808,39.734154]"
112,Sochi,2014,Skiing,Alpine Skiing,"LIGETY, Ted",USA,Men,Giant Slalom,Gold,"[43.602808,39.734154]"
113,Sochi,2014,Skiing,Alpine Skiing,"SHIFFRIN, Mikaela",USA,Women,Slalom,Gold,"[43.602808,39.734154]"
114,Sochi,2014,Skiing,Freestyle Skiing,"WISE, David",USA,Men,Ski Halfpipe,Gold,"[43.602808,39.734154]"
115,Sochi,2014,Skiing,Freestyle Skiing,"CHRISTENSEN, Joss",USA,Men,Ski Slopestyle,Gold,"[43.602808,39.734154]"
116,Sochi,2014,Skiing,Freestyle Skiing,"BOWMAN, Maddie",USA,Women,Ski Halfpipe,Gold,"[43.602808,39.734154]"
117,Sochi,2014,Skiing,Snowboard,"KOTSENBURG, Sage",USA,Men,Slopestyle,Gold,"[43.602808,39.734154]"
118,Sochi,2014,Skiing,Snowboard,"FARRINGTON, Kaitlyn",USA,Women,Half-Pipe,Gold,"[43.602808,39.734154]"
119,Sochi,2014,Skiing,Snowboard,"ANDERSON, Jamie",USA,Women,Slopestyle,Gold,"[43.602808,39.734154]"
120,Squaw Valley,1960,Ice Hockey,Ice Hockey,"OLSON, Weldon Howard",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
121,Squaw Valley,1960,Ice Hockey,Ice Hockey,"OWEN, Edwyn",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
122,Squaw Valley,1960,Ice Hockey,Ice Hockey,"PAAVOLA, Rodney",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
123,Squaw Valley,1960,Ice Hockey,Ice Hockey,"PALMER, Lawrence",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
124,Squaw Valley,1960,Ice Hockey,Ice Hockey,"RODENHEISER, Richard Peter",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
125,Squaw Valley,1960,Ice Hockey,Ice Hockey,"WILLIAMS, Thomas",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
126,Squaw Valley,1960,Skating,Figure skating,"JENKINS, David",USA,Men,Individual,Gold,"[39.197607,-120.235442]"
127,Squaw Valley,1960,Skating,Figure skating,"HEISS, Carol",USA,Women,Individual,Gold,"[39.197607,-120.235442]"
128,Squaw Valley,1960,Ice Hockey,Ice Hockey,"JOHNSON, Paul Herbert",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
129,Squaw Valley,1960,Ice Hockey,Ice Hockey,"KIRRANE, John J.",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
130,Squaw Valley,1960,Ice Hockey,Ice Hockey,"MAYASICH, John Edward",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
131,Squaw Valley,1960,Ice Hockey,Ice Hockey,"MCCARTAN, John",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
132,Squaw Valley,1960,Ice Hockey,Ice Hockey,"MCVEY, Robert",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
133,Squaw Valley,1960,Ice Hockey,Ice Hockey,"MEREDITH, Richard Otis",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
134,Squaw Valley,1960,Ice Hockey,Ice Hockey,"CLEARY, Robert Barry",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
135,Squaw Valley,1960,Ice Hockey,Ice Hockey,"CLEARY, William John",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
136,Squaw Valley,1960,Ice Hockey,Ice Hockey,"CHRISTIAN, Roger Allen",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
137,Squaw Valley,1960,Ice Hockey,Ice Hockey,"CHRISTIAN, William David",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
138,Squaw Valley,1960,Ice Hockey,Ice Hockey,"GRAZIA, Eugene",USA,Men,Ice Hockey,Gold,"[39.197607,-120.235442]"
139,St.Moritz,1928,Bobsleigh,Bobsleigh,"FISKE, William",USA,Men,Five-Man,Gold,"[46.490797,9.835508]"
140,St.Moritz,1928,Bobsleigh,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Five-Man,Gold,"[46.490797,9.835508]"
141,St.Moritz,1928,Bobsleigh,Bobsleigh,"MASON, Geoffrey Travers",USA,Men,Five-Man,Gold,"[46.490797,9.835508]"
142,St.Moritz,1928,Bobsleigh,Bobsleigh,"PARKE, Richard",USA,Men,Five-Man,Gold,"[46.490797,9.835508]"
143,St.Moritz,1928,Bobsleigh,Bobsleigh,"TUCKER, Nion",USA,Men,Five-Man,Gold,"[46.490797,9.835508]"
144,St.Moritz,1928,Bobsleigh,Skeleton,"HEATON, Jennison",USA,Men,Individual,Gold,"[46.490797,9.835508]"
145,St.Moritz,1948,Bobsleigh,Bobsleigh,"D'AMICO, William",USA,Men,Four-Man,Gold,"[46.490797,9.835508]"
146,St.Moritz,1948,Bobsleigh,Bobsleigh,"MARTIN, Patrick Henry",USA,Men,Four-Man,Gold,"[46.490797,9.835508]"
147,St.Moritz,1948,Bobsleigh,Bobsleigh,"RIMKUS, Edward",USA,Men,Four-Man,Gold,"[46.490797,9.835508]"
148,St.Moritz,1948,Bobsleigh,Bobsleigh,"TYLER, Francis William",USA,Men,Four-Man,Gold,"[46.490797,9.835508]"
149,St.Moritz,1948,Skating,Figure skating,"BUTTON, Richard",USA,Men,Individual,Gold,"[46.490797,9.835508]"
150,St.Moritz,1948,Skiing,Alpine Skiing,"FRASER, Gretchen",USA,Women,Slalom,Gold,"[46.490797,9.835508]"
151,Turin,2006,Skating,Short Track Speed Skating,"OHNO, Apolo Anton",USA,Men,500M,Gold,"[45.070312,7.686856]"
152,Turin,2006,Skating,Speed skating,"DAVIS, Shani",USA,Men,1000M,Gold,"[45.070312,7.686856]"
153,Turin,2006,Skating,Speed skating,"HEDRICK, Chad",USA,Men,5000M,Gold,"[45.070312,7.686856]"
154,Turin,2006,Skating,Speed skating,"CHEEK, Joey",USA,Men,500M,Gold,"[45.070312,7.686856]"
155,Turin,2006,Skiing,Alpine Skiing,"LIGETY, Ted",USA,Men,Alpine Combined,Gold,"[45.070312,7.686856]"
156,Turin,2006,Skiing,Alpine Skiing,"MANCUSO, Julia",USA,Women,Giant Slalom,Gold,"[45.070312,7.686856]"
157,Turin,2006,Skiing,Snowboard,"WHITE, Shaun",USA,Men,Half-Pipe,Gold,"[45.070312,7.686856]"
158,Turin,2006,Skiing,Snowboard,"TETER, Hannah",USA,Women,Half-Pipe,Gold,"[45.070312,7.686856]"
159,Turin,2006,Skiing,Snowboard,"WESCOTT, Seth",USA,Men,Snowboard Cross,Gold,"[45.070312,7.686856]"
160,Vancouver,2010,Bobsleigh,Bobsleigh,"HOLCOMB, Steven",USA,Men,Four-Man,Gold,"[49.282729,-123.120738]"
161,Vancouver,2010,Bobsleigh,Bobsleigh,"MESLER, Steve",USA,Men,Four-Man,Gold,"[49.282729,-123.120738]"
162,Vancouver,2010,Bobsleigh,Bobsleigh,"OLSEN, Justin",USA,Men,Four-Man,Gold,"[49.282729,-123.120738]"
163,Vancouver,2010,Bobsleigh,Bobsleigh,"TOMASEVICZ, Curtis",USA,Men,Four-Man,Gold,"[49.282729,-123.120738]"
164,Vancouver,2010,Skating,Figure skating,"LYSACEK, Evan",USA,Men,Individual,Gold,"[49.282729,-123.120738]"
165,Vancouver,2010,Skating,Speed skating,"DAVIS, Shani",USA,Men,1000M,Gold,"[49.282729,-123.120738]"
166,Vancouver,2010,Skiing,Alpine Skiing,"VONN, Lindsey",USA,Women,Downhill,Gold,"[49.282729,-123.120738]"
167,Vancouver,2010,Skiing,Alpine Skiing,"MILLER, Bode",USA,Men,Super Combined,Gold,"[49.282729,-123.120738]"
168,Vancouver,2010,Skiing,Freestyle Skiing,"KEARNEY, Hannah",USA,Women,Moguls,Gold,"[49.282729,-123.120738]"
169,Vancouver,2010,Skiing,Nordic Combined,"DEMONG, Bill",USA,Men,Sprint K120,Gold,"[49.282729,-123.120738]"
170,Vancouver,2010,Skiing,Snowboard,"WHITE, Shaun",USA,Men,Half-Pipe,Gold,"[49.282729,-123.120738]"
171,Vancouver,2010,Skiing,Snowboard,"WESCOTT, Seth",USA,Men,Snowboard Cross,Gold,"[49.282729,-123.120738]"
